Message
"V: 0.0000, I: 0.000000, P: 0.00000000\n"
"V: -1.4547, I: -0.000655, P: 0.00095233\n"
"V: -1.5381, I: -0.000692, P: 0.00106464\n"
"V: -1.6154, I: -0.000727, P: 0.00117434\n"
"V: -1.6864, I: -0.000759, P: 0.00127972\n"
"V: -1.7506, I: -0.000788, P: 0.00137909\n"
"V: -1.8079, I: -0.000814, P: 0.00147089\n"
"V: -1.8581, I: -0.000836, P: 0.00155366\n"
"V: -1.9009, I: -0.000855, P: 0.00162611\n"
"V: -1.9363, I: -0.000871, P: 0.00168709\n"
"V: -1.9639, I: -0.000884, P: 0.00173563\n"
"V: -1.9838, I: -0.000893, P: 0.00177096\n"
"V: -1.9958, I: -0.000898, P: 0.00179253\n"
"V: -2.0000, I: -0.000900, P: 0.00180000\n"
"V: -1.9962, I: -0.000898, P: 0.00179324\n"
"V: -1.9846, I: -0.000893, P: 0.00177237\n"
"V: -1.9651, I: -0.000884, P: 0.00173771\n"
"V: -1.9378, I: -0.000872, P: 0.00168982\n"
"V: -1.9029, I: -0.000856, P: 0.00162944\n"
"V: -1.8604, I: -0.000837, P: 0.00155754\n"
"V: -1.8106, I: -0.000815, P: 0.00147525\n"
"V: -1.7536, I: -0.000789, P: 0.00138387\n"
"V: -1.6897, I: -0.000760, P: 0.00128484\n"
"V: -1.6191, I: -0.000729, P: 0.00117973\n"
"V: -1.5421, I: -0.000694, P: 0.00107020\n"
"V: -1.4591, I: -0.000657, P: 0.00095798\n"
"V: -1.3702, I: -0.000617, P: 0.00084484\n"
"V: -1.2759, I: -0.000574, P: 0.00073258\n"
"V: -1.1766, I: -0.000529, P: 0.00062296\n"
"V: -1.0726, I: -0.000483, P: 0.00051772\n"
"V: -0.9644, I: -0.000434, P: 0.00041852\n"
"V: -0.8524, I: -0.000384, P: 0.00032693\n"
"V: -0.7370, I: -0.000332, P: 0.00024439\n"
"V: -0.6186, I: -0.000278, P: 0.00017222\n"
"V: -0.4979, I: -0.000224, P: 0.00011154\n"
"V: -0.3751, I: -0.000169, P: 0.00006333\n"
"V: -0.2509, I: -0.000113, P: 0.00002833\n"
"V: -0.1257, I: -0.000057, P: 0.00000711\n"
"V: -0.0000, I: -0.000000, P: 0.00000000\n"
